fid,wb_name,countryname,city,nl_average,innov_index
8,China,China,Guangzhou,41.428791,2.2714286
8,China,China,Hangzhou,30.048483,2.2666667
8,China,China,Nanjing,29.566662,1.5918367
8,China,China,Shanghai,52.145653,1.6666666
8,China,China,Shenzhen,54.664608,1.8095238
8,China,China,Wuhan,16.910301,2.5333333
133,Colombia,Colombia,Medellin,39.254227,1.8112583
133,Colombia,Colombia,Santiago de Cali,31.588469,1.6341463
29,"Congo, Democratic Republic of","Congo, Dem. Rep.",Lubumbashi,14.602249,1.3888888
29,"Congo, Democratic Republic of","Congo, Dem. Rep.",Mbuji-Mayi,7.9808917,1.0243902
156,"Egypt, Arab Republic of",Egypt,Cairo,31.033913,0.32100707
156,"Egypt, Arab Republic of",Egypt,Giza,60.657711,0.36399218
156,"Egypt, Arab Republic of",Egypt,Port Said,13.873288,0.21951219
156,"Egypt, Arab Republic of",Egypt,Shubra El Kheima,63,0.39622641
146,Ghana,Ghana,Kumasi,48.226299,1.6629213
7,India,India,Bangalore,43.764549,1.9681978
7,India,India,Chennai,58.892025,2.2737226
7,India,India,Delhi,44.058243,2.0264766
7,India,India,Hyderabad,27.804695,1.8544776
7,India,India,Jaipur,33.358006,2.0231214
7,India,India,Kanpur,20.3372,0.44827586
7,India,India,Kolkata,63,1.0842912
7,India,India,Lucknow,34.38863,0.89473683
7,India,India,Mumbai,58.202717,0.50555557
7,India,India,Pune,26.535599,0.54385966
7,India,India,Surat,39.897125,0.546875
0,Indonesia,Indonesia,Jakarta,61.692715,0.51176471
0,Indonesia,Indonesia,Medan,55.154079,0.3018868
0,Indonesia,Indonesia,Surabaya,58.340103,0.15384616
0,Indonesia,Indonesia,Tangerang,60.522934,0.59574467
15,Kenya,Kenya,Mombasa,35.681808,1.3571428
15,Kenya,Kenya,Nairobi,42.752743,1.4954545
151,Mexico,Mexico,Mexico City,39.065186,1.4358975
151,Mexico,Mexico,Puebla,26.771725,1.6315789
25,Morocco,Morocco,Fez,19.944525,0.15151516
118,Mozambique,Mozambique,Nampula,6.6689372,0.76119405
122,Myanmar,Myanmar,Yangon,20.596933,0.59958506
139,Nepal,Nepal,Pokhara,11.813334,1.1818181
96,Nigeria,Nigeria,Kaduna,47.471264,1.7540984
96,Nigeria,Nigeria,Lagos,42.686459,1.2749004
16,Pakistan,Pakistan,Gujranwala,12.386063,0.86153847
16,Pakistan,Pakistan,Islamabad-Rawalpindi,16.627062,1
16,Pakistan,Pakistan,Lahore,37.564926,0.72727275
4,Peru,Peru,Lima,29.569408,1.7627451
168,Philippines,Philippines,Manila,58.534714,1.1563169
74,Poland,Poland,Warsaw,61.063633,0.65467626
45,Russian Federation,Russia,Kazan,16.323092,0.40579709
45,Russian Federation,Russia,Moscow,42.7416,0.71387285
45,Russian Federation,Russia,Novosibirsk,26.335342,0.32386363
45,Russian Federation,Russia,Yekaterinburg,41.737301,0.69483566
83,Sudan,Sudan,Omdurman,14.156267,1
18,Tanzania,Tanzania,Dar es Salaam,16.802393,1.4289855
18,Tanzania,Tanzania,Mwanza,8.7064581,1.0909091
63,Turkey,Turkey,Istanbul,30.992603,0.2992126
63,Turkey,Turkey,Izmir,39.744858,0.27173913
128,Uganda,Uganda,Kira,24.39823,1.9841269
31,Ukraine,Ukraine,Kyiv,52.004482,0.54570639
38,Uzbekistan,Uzbekistan,Tashkent,58.977001,0.34323433
53,Vietnam,Vietnam,Hanoi,46.296089,1.4095238
53,Vietnam,Vietnam,Ho Chi Minh City,30.936289,0.78289473
157,"Yemen, Republic of",Yemen,Sanaa,34.100338,0.65648854
