lognl,pop,innovation intensity
2.2,5.27,0.1319947
2.2,6.27,0.132264
2.2,7.27,0.1325338
2.2,8.27,0.132804
2.2,9.27,0.1330746
2.2,10.27,0.1333456
2.2,11.27,0.1336171
2.2,12.27,0.133889
2.2,13.27,0.1341614
2.2,14.27,0.1344342
2.2,15.27,0.1347074
2.2,16.27,0.1349811
2.2,17.27,0.1352552
2.2,18.27,0.1355297
2.2,19.27,0.1358047
2.2,20.27,0.1360801
2.2,21.27,0.136356
2.2,22.27,0.1366323
2.2,23.27,0.136909
2.2,24.27,0.1371862
2.2,25.27,0.1374638
2.2,26.27,0.1377419
2.7,0.27,0.1336858
2.7,1.27,0.1356976
2.7,2.27,0.1377331
2.7,3.27,0.1397923
2.7,4.27,0.1418755
2.7,5.27,0.1439826
2.7,6.27,0.1461138
2.7,7.27,0.1482691
2.7,8.27,0.1504486
2.7,9.27,0.1526523
2.7,10.27,0.1548804
2.7,11.27,0.1571329
2.7,12.27,0.1594098
2.7,13.27,0.1617111
2.7,14.27,0.164037
2.7,15.27,0.1663874
2.7,16.27,0.1687624
2.7,17.27,0.171162
2.7,18.27,0.1735861
2.7,19.27,0.1760349
2.7,20.27,0.1785083
2.7,21.27,0.1810063
2.7,22.27,0.1835289
2.7,23.27,0.1860761
2.7,24.27,0.1886478
2.7,25.27,0.1912441
2.7,26.27,0.1938648
3.2,0.27,0.1358004
3.2,1.27,0.1380985
3.2,2.27,0.1404268
3.2,3.27,0.1427855
3.2,4.27,0.1451747
3.2,5.27,0.1475946
3.2,6.27,0.1500452
3.2,7.27,0.1525266
3.2,8.27,0.1550389
3.2,9.27,0.1575823
3.2,10.27,0.1601566
3.2,11.27,0.1627622
3.2,12.27,0.1653989
3.2,13.27,0.1680668
3.2,14.27,0.1707659
3.2,15.27,0.1734964
3.2,16.27,0.1762581
3.2,17.27,0.1790511
3.2,18.27,0.1818754
3.2,19.27,0.184731
3.2,20.27,0.1876178
3.2,21.27,0.1905357
3.2,22.27,0.1934849
3.2,23.27,0.196465
3.2,24.27,0.1994762
3.2,25.27,0.2025183
3.2,26.27,0.2055912
3.7,0.27,0.1369631
3.7,1.27,0.1380229
3.7,2.27,0.1390892
3.7,3.27,0.1401619
3.7,4.27,0.141241
3.7,5.27,0.1423265
3.7,6.27,0.1434184
3.7,7.27,0.1445169
3.7,8.27,0.1456218
3.7,9.27,0.1467331
3.7,10.27,0.147851
3.7,11.27,0.1489753
3.7,12.27,0.1501062
3.7,13.27,0.1512436
3.7,14.27,0.1523875
3.7,15.27,0.1535379
3.7,16.27,0.1546949
3.7,17.27,0.1558584
3.7,18.27,0.1570285
3.7,19.27,0.1582052
3.7,20.27,0.1593884
3.7,21.27,0.1605782
3.7,22.27,0.1617746
3.7,23.27,0.1629775
3.7,24.27,0.1641871
3.7,25.27,0.1654032
3.7,26.27,0.166626
